member_casual,month,number_of_rides,number_of_classic_bikes,average_duration,average_distance,pct_classic_bikes
casual,1,17090,6572,776.6198176126389,1.6286561,38.45523698069046
casual,2,19631,7365,806.1299755998167,1.6971216,37.5171921960165
casual,3,61670,31231,1181.7313520188097,2.0094872,50.64212745257013
casual,4,77018,39421,1252.123770443273,2.0828936,51.184138772754416
casual,5,125697,66910,1407.5746209933411,2.2337124,53.231182924015684
casual,6,193128,109351,1479.0867372726898,2.2591462,56.62099747317841
casual,7,208733,108705,1451.3334692789351,2.221204,52.07849261975825
casual,8,221294,117523,1461.5308516136904,2.292307,53.10717868536878
casual,9,172387,80699,1316.3797555558133,2.273649,46.81269469275525
casual,10,143546,66167,1231.237110717122,2.161208,46.094631686010054
casual,11,64203,27035,1019.3291464573306,1.9336222,42.10862420759155
casual,12,18861,6967,858.8478288531892,1.6527387,36.938656486930704
member,1,84121,42961,594.692221228944,1.754553,51.07048180596997
member,2,89945,45337,591.6326558230029,1.8215916,50.40524765134249
member,3,148162,79523,670.0018164914081,2.0281918,53.67300657388534
member,4,181859,98926,682.8230011107506,2.0907016,54.397087853776824
member,5,215010,118679,727.4504804892796,2.1865907,55.19696758290312
member,6,253192,143730,785.364011374767,2.3011563,56.76719643590636
member,7,285552,155564,808.663068288788,2.2856894,54.478343699221156
member,8,294344,162808,790.8313217595738,2.2971947,55.31215176799935
member,9,295374,157944,762.1393397726272,2.2760763,53.472546669645936
member,10,274356,143182,747.2149472911108,2.1413605,52.188397556459485
member,11,170729,88008,728.0122369661862,2.0062716,51.54836026685567
member,12,77333,37788,718.8676080845177,1.8095322,48.86400372415398
