member_casual,day_of_week,number_of_rides,number_of_classic_bikes,average_duration,average_distance,pct_classic_bikes
casual,Sunday,223546,122172,1547.3261667218378,2.2614408,54.65183899510615
casual,Monday,154903,76838,1315.619654925986,2.0955594,49.60394569504787
casual,Tuesday,148922,71425,1188.2743519829173,2.1184018,47.961348894051916
casual,Wednesday,143202,66493,1094.3287572729432,2.0812943,46.43301071214089
casual,Thursday,166508,77679,1180.3237639572874,2.1259582,46.6518125255243
casual,Friday,210928,102310,1319.6506573712356,2.1817787,48.5047030266252
casual,Saturday,275249,151029,1505.6291825111082,2.300194,54.86995411427471
member,Sunday,250674,142697,826.6149847092239,2.189612,56.92532931217438
member,Monday,348528,189046,712.3368726013405,2.1143887,54.24126612495983
member,Tuesday,383513,205612,720.9021098685051,2.1646376,53.61278496426457
member,Wednesday,370688,195255,705.2945956141014,2.151128,52.67367705455801
member,Thursday,382678,200574,710.285006603463,2.1591935,52.413256053392146
member,Friday,348382,181804,738.6943105671361,2.1242955,52.18524493228697
member,Saturday,285514,159462,816.357981265367,2.2286794,55.85085144686425
